SITE,A0 OM 0-3,A0 OM 3-6,A0 OM 6-9,A0 OM 9-12,A0 OM 12-15,A0 Mineral,AE OM 0-3,AE OM 3-6,AE Mineral,A10 Mix 0-3,A10 Mix 3-6,A10 Mineral,A20 Mix 0-3,A20 Mineral,A30 OM 0-3,A30 Mix 3-6,A30 Mineral,B0 OM 0-3,B0 OM 3-6,B0 OM 6-9,B0 OM 9-12,B0 Mineral,BE OM 0-3,BE OM 3-6,BE OM 6-9,BE Mineral,B10 OM 0-3,B10 OM 3-6,B10 OM 6-9,B10 OM 9-12,B10 OM 12-15,B10 OM 15-18,B10 Mineral,B20 Mix 0-3,B20 Mineral,B30 Mix 0-3,B30 Mix 3-6,B30 Mineral,C0 OM 0-3,C0 OM 3-6,C0 Mineral,CE OM 0-3,CE Mineral,C10 OM 0-3,C10 Mineral,C20 OM 0-3,C20 Mineral,C30 OM 0-3,C30 Mineral,D0 OM 0-3,D0 OM 3-6,D0 OM 6-9,D0 Mineral,DE OM 0-3,DE OM 3-6,DE OM 6-9,DE Mineral,D10 Mix 0-3,D10 Mix 3-6,D10 Mix 6-9,D10 Mix 9-12,D10 Mineral,D20 Mix 0-3,D20 Mineral,D30 Mix 0-3,D30 Mineral,E0 OM 0-3,E0 OM 3-6,E0 Mix 6-9,E0 Mineral,E10 OM 0-3,E10 Mineral,E20 OM 0-3,E20 OM 3-6,E20 OM 6-9,E20 Mix 9-12,E20 Mineral,E30 OM 0-3,E30 OM 3-6,E30 OM 6-9,E30 OM 9-12,E30 Mineral,F0 OM 0-3,F0 OM 3-6,F0 Mineral,F10 OM 0-3,F10 OM 3-6,F10 OM 6-9,F10 Mineral,F20 OM 0-3,F20 OM 3-6,F20 OM 6-9,F20 Mineral,F30 OM 0-3,F30 OM 3-6,F30 OM 6-9,F30 OM 9-12,F30 Mineral,G0 OM 0-3,G0 Mix 3-6,G0 Mix 6-9,G0 Mix 9-12,G0 Mix 12-15,G0 Mineral,G10 Mix 0-3,G10 Mix 3-6,G10 Mix 6-9,G10 Mix 9-12,G10 Mineral,G20 OM 0-3,G20 Mix 3-6,G20 Mineral,G30 OM 0-3,G30 Mix 3-6,G30 OM 6-9,G30 OM 9-12,G30 Mineral,H0 OM 0-3,H0 OM 3-6,H0 Mineral,H10 OM 0-3,H10 Mineral,H20 OM 0-3,H20 Mix 3-6,H20 Mix 6-9,H20 Mix 9-12,H20 Mineral,H30 OM 0-3,H30 OM 3-6,H30 OM 6-9,H30 OM 9-12,H30 Mineral,CC1 Mix 0-3,CC1 Mix 3-6,CC1 Mineral,CC2 OM 0-3,CC2 OM-3-6,CC2 Mineral,CC3 OM 0-3,CC3 Mix 3-6,CC3 Mix 6-9,CC3 Mineral,CC4 OM 0-3,CC4 OM 3-6,CC4 Mineral,CON1 OM 0-3,CON1 OM 3-6,CON1 OM 6-9,CON1 Mineral,CON2 OM 0-3,CON2 OM 3-6,CON2 OM 6-9,CON2 Mineral,CON3 Mix 0-3,CON3 Mix 3-6,CON3 Mineral,CON4 OM 0-3,CON4 OM 3-6,CON4 OM 6-9,CON4 Mineral
Gamasidae,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C,,1,,,2,,,,,2,,,1,,,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,1,,,,,1,1,,,,,,,,,,,,8,4,,,,2,,1,3,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,1,,1,,,,2,1,,,4,,5,,,,,,,,
1J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
AL,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR5,,,,1,,,,,,2,1,2,1,,,,2,1,1,,,1,,,,1,4,,,,5,2,1,1,,,,4,,1,1,,,1,4,,5,1,,,,,1,1,2,1,7,8,10,,,1,1,6,1,1,1,1,,,,,,,,2,,,1,,,,,,1,,,,,,,,,2,5,,1,11,,,,1,,,,,,,8,,,3,,,1,,2,,,,,,1,4,,2,,1,7,2,2,3,,,3,1,1,,,,,,1,1,,,,,,,,,1,,,,,,,
AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
3G,,1,1,2,,1,,,,,,,1,,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,6,,,4,5,4,2,,,2,,1,,,1,7,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,,2,,,,1,,,,,,,,,,,,,5,1,,1,,1,,1,,1,,2,3,,5,8,,
4Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5 - Cosmozercon sp.,,2,1,,1,,,,,,,,1,1,,,,1,2,1,1,1,,,,1,2,2,3,1,1,2,2,1,1,1,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,3,1,,,4,2,,2,2,1,2,,3,5,,1,,,2,2,,2,1,3,,,,,,,1,,,,,,,,,
F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5 - Gamasellus sp.,4,4,,,,,5,1,,,,,,,,,,,1,,,,2,2,,7,,,,,,,1,,,,1,2,3,,,,,,,,,,,,1,,,2,,1,,,,,,,,,2,1,8,6,,,,,2,,,2,,1,,1,1,,1,5,,3,2,8,3,,,,1,2,,,,1,,,1,,1,,2,2,4,1,1,2,6,2,,,,,,,,,3,,1,,1,2,2,,1,3,,1,3,2,4,,1,,,,,,1,,1,9,13,4,1,5,1,3,2,3,8,2,9,2,2,
5H,1,,,,1,,3,,,,,,,,2,,,,,,,,1,4,2,4,,,,,,,,,,,,2,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,1,,,,,2,,,,,,1,1,,,,,,,,,,5,3,2,,,1,5,,,,,,,3,,,3,1,2,,,,,,,,,,,,,,1,,,,,,1,1,1,2,1,,1,1,1,,1,1,3,,1,,1,
5I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11C,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso immatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oribatids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prostigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesostigs,71,169,124,152,151,76,98,40,16,116,9,0,67,22,62,30,7,34,33,10,11,62,38,77,120,112,111,41,42,25,24,29,30,221,21,52,27,23,8,19,37,115,71,151,37,64,65,179,24,40,58,93,14,26,48,91,13,49,65,35,10,11,34,14,85,24,145,152,23,54,105,22,86,59,136,86,47,60,153,129,118,24,76,177,41,85,89,35,27,33,75,28,16,94,30,33,14,12,94,76,40,96,62,44,93,76,48,37,33,42,33,21,74,55,98,2,88,38,32,23,97,11,106,68,162,55,50,136,131,266,488,136,39,48,37,61,14,19,39,23,27,37,101,97,16,56,66,60,15,59,65,145,25,143,189,51,84,60,33,10
Total,39,23,34,237,172,98,36,130,111,144,37,22,153,243,87,44,8,54,58,25,24,32,9,99,96,79,79,180,71,66,53,61,69,79,10,32,89,31,34,448,318,125,90,605,263,17,174,60,18,16,149,213,52,19,115,176,33,736,358,230,20,89,105,64,33,86,12,167,20,20,70,30,117,112,324,248,41,169,71,162,77,33,38,124,69,76,152,46,19,156,178,48,11,112,263,104,108,60,89,60,45,33,41,13,55,222,82,37,69,86,15,36,18,40,133,17,59,60,115,14,112,29,192,121,100,55,44,29,17,126,211,109,316,644,102,86,77,43,24,25,20,138,390,248,36,77,168,43,8,25,41,56,29,85,49,14,46,44,16,3
% Oribatid,8,8,3,5,7,2,9,1,1,7,2,2,4,1,7,1,2,2,4,1,1,2,8,8,4,14,7,5,4,1,7,6,4,2,1,1,1,10,6,2,3,2,1,3,4,1,6,2,0,4,1,0,1,7,7,6,7,8,11,0,0,2,1,7,8,2,13,9,0,0,16,1,8,5,12,7,0,9,8,6,7,1,9,10,2,14,9,15,6,12,5,1,4,14,7,2,1,13,3,2,3,3,2,1,9,10,7,1,9,4,18,6,1,0,2,1,2,6,1,0,11,2,11,6,7,11,2,4,10,8,5,5,8,8,7,8,4,1,2,3,0,4,11,9,2,14,16,5,2,14,5,11,4,17,27,3,21,21,5,0
% Prostig,118,200,161,394,330,176,143,171,128,267,48,24,224,266,156,75,17,90,95,36,36,96,55,184,220,205,197,226,117,92,84,96,103,302,32,85,117,64,48,469,358,242,162,759,304,82,245,241,42,60,208,306,67,52,170,273,53,793,434,265,30,102,140,85,126,112,170,328,43,74,191,53,211,176,472,341,88,238,232,297,202,58,123,311,112,175,250,96,52,201,258,77,31,220,300,139,123,85,186,138,88,132,105,58,157,308,137,75,111,132,66,63,93,95,233,20,149,104,148,37,220,42,309,195,269,121,96,169,158,400,704,250,363,700,146,155,95,63,65,51,47,179,502,354,54,147,250,108,25,98,111,212,58,245,265,68,151,125,54,13
% Mesostig,60.17,84.5,77.02,38.58,45.76,43.18,68.53,23.39,12.5,43.45,18.75,0,29.91,8.27,39.74,40,41.18,37.78,34.74,27.78,30.56,64.58,69.09,41.85,54.55,54.63,56.35,18.14,35.9,27.17,28.57,30.21,29.13,73.18,65.63,61.18,23.08,35.94,16.67,4.05,10.34,47.52,43.83,19.89,12.17,78.05,26.53,74.27,57.14,66.67,27.88,30.39,20.9,50,28.24,33.33,24.53,6.18,14.98,13.21,33.33,10.78,24.29,16.47,67.46,21.43,85.29,46.34,53.49,72.97,54.97,41.51,40.76,33.52,28.81,25.22,53.41,25.21,65.95,43.43,58.42,41.38,61.79,56.91,36.61,48.57,35.6,36.46,51.92,16.42,29.07,36.36,51.61,42.73,10,23.74,11.38,14.12,50.54,55.07,45.45,72.73,59.05,75.86,59.24,24.68,35.04,49.33,29.73,31.82,50,33.33,79.57,57.89,42.06,10,59.06,36.54,21.62,62.16,44.09,26.19,34.3,34.87,60.22,45.45,52.08,80.47,82.91,0,69.32,54.4,10.74,6.86,25.34,39.35,14.74,30.16,60,45.1,57.45,20.67,20.12,27.4,29.63,38.1,26.4,55.56,60,60.2,58.56,68.4,43.1,58.37,71.32,75,55.63,48,61.11,76.92
,33.05,11.5,21.12,60.15,52.12,55.68,25.17,76.02,86.72,53.93,77.08,91.67,68.3,91.35,55.77,58.67,47.06,60,61.05,69.44,66.67,33.33,16.36,53.8,43.64,38.54,40.1,79.65,60.68,71.74,63.1,63.54,66.99,26.16,31.25,37.65,76.07,48.44,70.83,95.52,88.83,51.65,55.56,79.71,86.51,20.73,71.02,24.9,42.86,26.67,71.63,69.61,77.61,36.54,67.65,64.47,62.26,92.81,82.49,86.79,66.67,87.25,75,75.29,26.19,76.79,7.06,50.91,46.51,27.03,36.65,56.6,55.45,63.64,68.64,72.73,46.59,71.01,30.6,54.55,38.12,56.9,30.89,39.87,61.61,43.43,60.8,47.92,36.54,77.61,68.99,62.34,35.48,50.91,87.67,74.82,87.8,70.59,47.85,43.48,51.14,25,39.05,22.41,35.03,72.08,59.85,49.33,62.16,65.15,22.73,57.14,19.35,42.11,57.08,85,39.6,57.69,77.7,37.84,50.91,69.05,62.14,62.05,37.17,45.45,45.83,17.16,10.76,0,29.97,43.6,87.05,92,69.86,55.48,81.05,68.25,36.92,49.02,42.55,77.09,77.69,70.06,66.67,52.38,67.2,39.81,32,25.51,36.94,26.42,50,34.69,18.49,20.59,30.46,35.2,29.63,23.08
,6.78,4,1.86,1.27,2.12,1.14,6.29,0.58,0.78,2.62,4.17,8.33,1.79,0.38,4.49,1.33,11.76,2.22,4.21,2.78,2.78,2.08,14.55,4.35,1.82,6.83,3.55,2.21,3.42,1.09,8.33,6.25,3.88,0.66,3.13,1.18,0.85,15.63,12.5,0.43,0.84,0.83,0.62,0.4,1.32,1.22,2.45,0.83,0,6.67,0.48,0,1.49,13.46,4.12,2.2,13.21,1.01,2.53,0,0,1.96,0.71,8.24,6.35,1.79,7.65,2.74,0,0,8.38,1.89,3.79,2.84,2.54,2.05,0,3.78,3.45,2.02,3.47,1.72,7.32,3.22,1.79,8,3.6,15.63,11.54,5.97,1.94,1.3,12.9,6.36,2.33,1.44,0.81,15.29,1.61,1.45,3.41,2.27,1.9,1.72,5.73,3.25,5.11,1.33,8.11,3.03,27.27,9.52,1.08,0,0.86,5,1.34,5.77,0.68,0,5,4.76,3.56,3.08,2.6,9.09,2.08,2.37,6.33,0,0.71,2,2.2,1.14,4.79,5.16,4.21,1.59,3.08,5.88,0,2.23,2.19,2.54,3.7,9.52,6.4,4.63,8,14.29,4.5,5.19,6.9,6.94,10.19,4.41,13.91,16.8,9.26,0
