DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,comments,Oribatids,Mesostig,Prostig,TOTAL,%Oribatids,%Mesostig,%Prostig
30-Oct-06,03-Nov-06,1D,9A,CC,3,min,,46.42,113.16,96.8,50.38,,37,4,138,179,20.67,2.23,77.09
30-Oct-06,03-Nov-06,3C,15,CC,4,OM,0-3,46.18,59.72,49.91,3.73,,101,11,390,502,20.12,2.19,77.69
30-Oct-06,03-Nov-06,3D,21,CC,4,OM,3-6,46.19,72.51,54.04,7.85,,97,9,248,354,27.4,2.54,70.06
30-Oct-06,03-Nov-06,2A,134,CC,4,min,,45.89,70.39,61.05,15.16,,16,2,36,54,29.63,3.7,66.67
,,,,,,,,,,,,,,,,,,,
30-Oct-06,03-Nov-06,6B,56,CON,1,OM,0-3,45.99,63.62,51,5.01,,56,14,77,147,38.1,9.52,52.38
30-Oct-06,03-Nov-06,6D,21,CON,1,OM,3-6,46,71.49,52.46,6.46,,66,16,168,250,26.4,6.4,67.2
30-Oct-06,03-Nov-06,5A,67,CON,1,OM,6-9,46.24,76.74,53.85,7.61,,60,5,43,108,55.56,4.63,39.81
30-Oct-06,03-Nov-06,4B,8A,CON,1,min,,44.48,95.15,80.91,36.43,,15,2,8,25,60,8,32
30-Oct-06,03-Nov-06,5B,26,CON,2,OM,0-3,43.55,53.85,47.16,3.61,,59,14,25,98,60.2,14.29,25.51
30-Oct-06,03-Nov-06,5C,61,CON,2,OM,3-6,44.46,65.85,52.8,8.34,,65,5,41,111,58.56,4.5,36.94
30-Oct-06,03-Nov-06,5D,25,CON,2,OM,6-9,45.78,61.62,50.26,4.48,,145,11,56,212,68.4,5.19,26.42
30-Oct-06,03-Nov-06,3B,31,CON,2,min,,45.3,87.72,75.66,30.36,,25,4,29,58,43.1,6.9,50
30-Oct-06,03-Nov-06,7C,5B,CON,3,mix,0-3,44.81,62.74,50.92,6.11,,143,17,85,245,58.37,6.94,34.69
30-Oct-06,03-Nov-06,7D,32,CON,3,mix,3-6,44.55,76.19,58.02,13.47,,189,27,49,265,71.32,10.19,18.49
30-Oct-06,03-Nov-06,2D,3,CON,3,min,,45.83,95.42,85.64,39.81,,51,3,14,68,75,4.41,20.59
30-Oct-06,03-Nov-06,4C,75,CON,4,OM,0-3,43.99,65.28,49.16,5.17,,84,21,46,151,55.63,13.91,30.46
30-Oct-06,03-Nov-06,4D,13,CON,4,OM,3-6,43.52,96.09,55.62,12.1,,60,21,44,125,48,16.8,35.2
30-Oct-06,03-Nov-06,3A,58,CON,4,OM,6-9,44.64,75.35,56.02,11.38,,33,5,16,54,61.11,9.26,29.63
30-Oct-06,03-Nov-06,4A,137,CON,4,min,,45.7,96.49,79.45,33.75,,10,0,3,13,76.92,0,23.08
