DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,,
09-Nov-05,14-Nov-05,10B,62,J,E,OM,6-9,45.75,73.16,62.42,16.67,,
09-Nov-05,14-Nov-05,10C,57,J,E,Min,,43.36,90.76,78.92,35.56,,
09-Nov-05,14-Nov-05,10D,22,J,10,mix,0-3,45.82,74.48,70.09,24.27,4,
09-Nov-05,14-Nov-05,9A,37,J,10,mix,3-6,45.08,85.36,56.6,11.52,,
09-Nov-05,14-Nov-05,9B,107,J,10,Min,,44.52,100.3,81.88,37.36,,
09-Nov-05,14-Nov-05,9C,26,J,20,OM,0-3,46.57,66.88,51.78,5.21,2,
09-Nov-05,14-Nov-05,9D,63,J,20,OM,3-6,46.3,70.61,52.56,6.26,,wood
09-Nov-05,14-Nov-05,8A,6,J,20,OM,6-9,78.5,107.18,85.9,7.4,,wood
09-Nov-05,14-Nov-05,8B,A3,J,20,OM,9-12,45.95,68.05,52,6.05,,wood
09-Nov-05,14-Nov-05,8C,27,J,20,OM,12-15,44.04,64.3,49.37,5.33,,
09-Nov-05,14-Nov-05,8D,18A,J,20,Min,,45.93,112.47,84.3,38.37,,
09-Nov-05,14-Nov-05,7A,3B,J,30,mix,0-3,46.06,71.15,56.74,10.68,4,
09-Nov-05,14-Nov-05,7B,LO,J,30,mix,3-6,45.36,66.74,53.96,8.6,,
09-Nov-05,14-Nov-05,7C,5,J,30,Min,,45.09,111.48,88.79,43.7,,
09-Nov-05,14-Nov-05,7D,102,M,20,mix,0-3,43.83,70.184,57.1,13.27,3,
09-Nov-05,14-Nov-05,6A,5B,M,20,mix,3-6,45.59,66.15,53.6,8.01,,
09-Nov-05,14-Nov-05,6B,30C,M,20,mix,6-9,46.02,66.41,53.39,7.37,,
09-Nov-05,14-Nov-05,6C,9B,M,20,Min,,43.59,92.82,82.03,38.44,,
09-Nov-05,14-Nov-05,6D,6B,M,30,mix,0-3,46.04,78.54,64.11,18.07,4,
09-Nov-05,14-Nov-05,5A,2,M,30,mix,3-6,46.05,83.02,6805,6758.95,,
09-Nov-05,14-Nov-05,5B,9A,M,30,mix,6-9,42.98,73.34,62.21,19.23,,
09-Nov-05,14-Nov-05,5C,B1,M,30,mix,9-12,44.39,76.04,63.05,18.66,,
09-Nov-05,14-Nov-05,5D,23,M,30,Min,,45.1,98.98,85.12,40.02,,
09-Nov-05,14-Nov-05,4A,70,S,0,OM,0-3,44.54,62.99,50.12,5.58,1,
09-Nov-05,14-Nov-05,4B,39,S,0,OM,3-6,42.92,67.68,50.18,7.26,,
09-Nov-05,14-Nov-05,4C,32,S,0,OM,6-9,44.59,67.92,51.08,6.49,,
